CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,LastUpdated
21173,NULL,Chad,C,Yuan,NULL,7090 C. Mount Hood,NULL,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0115,11/13/1987,Bachelors,Clerical,M,M,1,3,0,1,,3/6/2017
13249,NULL,Ryan,NULL,Perry,NULL,3651 Willow Lake Rd,NULL,Shawnee,British Columbia,Canada,V9B 2C3,787-555-0136,7/21/1972,Partial College,Clerical,M,M,1,2,1,2,,3/6/2017
29350,NULL,Julia,NULL,Thompson,NULL,1774 Tice Valley Blvd.,NULL,West Covina,California,United States,91791,120-555-0111,11/9/1985,Bachelors,Clerical,F,S,0,3,0,0,,3/6/2017
13503,NULL,Theodore,NULL,Gomez,NULL,2103 Baldwin Dr,NULL,Liverpool,England,United Kingdom,L4 4HB,1 (11) 500 555-0167,10/18/1977,Partial College,Skilled Manual,M,M,1,2,1,2,,3/6/2017
22803,NULL,Marshall,J,Shan,NULL,Am Gallberg 234,NULL,Werne,Nordrhein-Westfalen,Germany,59368,1 (11) 500 555-0113,2/5/1975,Partial College,Skilled Manual,M,S,1,1,0,0,,3/6/2017
22092,NULL,Andrea,NULL,Young,NULL,9384 Ashmount Way,NULL,Tacoma,Washington,United States,98403,639-555-0165,2/23/1975,High School,Skilled Manual,F,M,1,2,2,2,61944,3/6/2017
11229,NULL,Adrian,C,Stewart,NULL,6898 Shaw Rd.,NULL,Redwood City,California,United States,94063,812-555-0122,12/3/1971,Partial College,Manual,M,S,1,1,0,0,,3/6/2017
24179,NULL,Robyn,R,Blanco,NULL,6270 Pinecreek Way,NULL,Lavender Bay,New South Wales,Australia,2060,1 (11) 500 555-0113,3/7/1997,Partial College,Skilled Manual,F,M,0,1,0,0,61832,3/6/2017
12127,NULL,Grace,NULL,Davis,NULL,"8188, rue Lamarck",NULL,Dunkerque,Nord,France,59140,1 (11) 500 555-0178,12/14/1976,Partial College,Clerical,F,M,1,0,0,2,83834,3/6/2017
19903,NULL,Marcus,N,Nelson,NULL,"5, rue des Bouchers",NULL,Metz,Moselle,France,57000,1 (11) 500 555-0181,12/4/1976,High School,Manual,M,S,0,1,0,0,26880,3/6/2017
25924,NULL,Hannah,NULL,Robinson,NULL,536 Beech Ct.,NULL,Redwood City,California,United States,94063,609-555-0161,11/20/1998,Partial College,Clerical,F,S,0,1,0,0,77258,3/6/2017
23033,NULL,Alex,J,Turner,NULL,9973 Mcnutt Ave,NULL,Lakewood,California,United States,90712,668-555-0160,4/21/1981,Bachelors,Management,M,M,1,3,0,0,102698,3/6/2017
20029,NULL,Jan,M,Evans,NULL,7787 Olive St.,NULL,Los Angeles,California,United States,90012,163-555-0164,10/24/1984,Bachelors,Management,F,M,1,1,1,2,108198,3/6/2017
22031,NULL,Jorge,NULL,Cai,NULL,7952 Quartermaster,NULL,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0191,8/12/1960,Bachelors,Professional,M,M,1,2,0,2,133762,3/6/2017
23770,NULL,Jamie,NULL,Carlson,NULL,8191 Scenic Ct.,NULL,Maidenhead,England,United Kingdom,SL67RJ,1 (11) 500 555-0165,5/12/1991,Partial High School,Manual,M,S,0,1,0,0,30526,3/7/2017
23770,NULL,Jamie,NULL,Carlson,NULL,8191 Scenic Ct.,NULL,Maidenhead,England,United Kingdom,SL67RJ,1 (11) 500 555-0163,5/12/1991,Partial High School,Manual,M,S,0,1,0,0,30526,3/6/2017
23737,NULL,Elena,NULL,Velez Amezaga,NULL,9613 Camino Royale,NULL,Beverly Hills,California,United States,90210,545-555-0171,3/14/1971,Partial College,Skilled Manual,F,M,1,2,0,2,56353,3/6/2017
17127,NULL,Makayla,A,Gray,NULL,9442 Lacanda,NULL,Puyallup,Washington,United States,98371,133-555-0124,6/2/1965,High School,Clerical,F,S,1,3,1,1,79019,3/6/2017
28130,NULL,Joshua,M,Taylor,NULL,1145 Paraiso Ct.,NULL,Langley,British Columbia,Canada,V3A 4R2,926-555-0140,2/2/1993,Partial College,Skilled Manual,M,S,0,2,0,0,55387,3/6/2017
28455,NULL,Raymond,E,Sara,NULL,Zollstr 68,Verkaufsabteilung,Darmstadt,Hessen,Germany,64283,1 (11) 500 555-0165,6/6/1981,Bachelors,Management,M,M,1,2,0,2,113276,3/6/2017
20161,NULL,Albert,G,Sanz,NULL,"87, rue de la Comédie",NULL,Orly,Val de Marne,France,94310,1 (11) 500 555-0118,6/20/1963,Partial College,Management,M,S,1,1,0,1,109259,3/6/2017
21325,NULL,Angela,NULL,Hayes,NULL,8273 Glacier Drive,NULL,El Cajon,California,United States,92020,848-555-0112,7/10/1980,High School,Clerical,F,M,1,0,0,2,83845,3/6/2017
12128,NULL,Kristy,E,Munoz,NULL,Altendorfer Straße 903,NULL,Berlin,Hessen,Germany,12171,1 (11) 500 555-0146,12/16/1976,High School,Skilled Manual,F,M,1,0,2,2,59527,3/6/2017
23679,NULL,Jacob,G,Harris,NULL,7987 Seawind Dr.,NULL,Oak Bay,British Columbia,Canada,V8P,518-555-0167,11/5/1961,Bachelors,Management,M,S,1,1,0,1,108360,3/6/2017
26799,NULL,Ryan,G,Russell,NULL,1104 O St.,NULL,Coronado,California,United States,92118,696-555-0187,9/19/1996,Partial College,Clerical,M,M,0,1,0,0,87504,3/6/2017
15726,NULL,Faith,F,Barnes,NULL,6176 Crow Street,NULL,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0195,2/27/1993,Bachelors,Skilled Manual,F,M,0,0,0,0,55461,3/6/2017
15473,NULL,Abigail,NULL,Jenkins,NULL,4838 Second Street,NULL,Coronado,California,United States,92118,135-555-0132,4/15/1989,Bachelors,Professional,F,S,1,2,0,0,137464,3/6/2017
28685,NULL,Marshall,J,Zhu,NULL,"24, boulevard Tremblay",NULL,Drancy,Seine Saint Denis,France,93700,1 (11) 500 555-0189,3/16/1990,High School,Clerical,M,M,1,2,0,1,87676,3/6/2017
12302,NULL,Kevin,NULL,Coleman,NULL,Reiherweg 5,NULL,Frankfurt,Hessen,Germany,60323,1 (11) 500 555-0167,3/2/1966,Bachelors,Management,M,M,1,3,0,2,104187,3/6/2017
23523,NULL,Steve,V,Liu,NULL,8358 Azalea Avenue,NULL,Findon,South Australia,Australia,5023,1 (11) 500 555-0135,8/19/1983,Bachelors,Clerical,M,S,0,1,0,0,78222,3/6/2017
18713,NULL,Rosa,NULL,Yang,NULL,5673 Arlington Circle,NULL,Newcastle,New South Wales,Australia,2300,1 (11) 500 555-0178,11/15/1986,Graduate Degree,Clerical,F,M,1,2,0,1,77383,3/6/2017
24082,NULL,Regina,A,Rodriguez,NULL,"56, avenue de l´Europe",NULL,Morangis,Essonne,France,91420,1 (11) 500 555-0119,12/13/1984,High School,Skilled Manual,F,M,1,1,2,2,60700,3/6/2017
27886,NULL,Denise,P,Gonzalez,NULL,"80, avenue de Malakoff",NULL,Pantin,Seine Saint Denis,France,93500,1 (11) 500 555-0116,9/24/1980,High School,Manual,F,S,0,0,0,0,30913,3/6/2017
21711,NULL,Hailey,J,Gray,NULL,44 Garcia,NULL,West Covina,California,United States,91791,643-555-0126,11/11/1978,Partial College,Clerical,F,S,1,2,0,0,86952,3/6/2017
22366,NULL,Logan,C,Henderson,NULL,1695 Valley High Dr,NULL,Sooke,British Columbia,Canada,V0,154-555-0134,7/16/1978,Graduate Degree,Skilled Manual,M,M,1,2,1,2,58567,3/6/2017
15010,NULL,Cory,J,Suri,NULL,9342 Temple Drive,NULL,Berkeley,California,United States,94704,109-555-0114,9/12/1997,Partial College,Clerical,M,M,0,0,0,0,77478,3/6/2017
22296,NULL,Benjamin,M,Johnson,NULL,4137 Garcia Ranch Road,NULL,Lemon Grove,California,United States,91945,913-555-0137,3/23/1988,Bachelors,Clerical,M,M,1,2,0,1,78406,3/6/2017
23237,NULL,Caleb,C,Young,NULL,Helsenbergbogen 2,NULL,Kassel,Hessen,Germany,34117,1 (11) 500 555-0192,12/27/1990,Partial College,Clerical,M,S,0,1,0,0,85318,3/6/2017
13832,NULL,Priscilla,R,Raji,NULL,"51, rue Henri Gagnon",NULL,Courbevoie,Hauts de Seine,France,92400,1 (11) 500 555-0125,4/27/1996,High School,Skilled Manual,F,S,0,0,0,0,52928,3/6/2017
26026,NULL,Cindy,E,Srini,NULL,9099 Warmcastle Ct.,NULL,Townsville,Queensland,Australia,4810,1 (11) 500 555-0153,5/14/1987,Bachelors,Clerical,F,S,0,2,0,0,79224,3/6/2017
17813,NULL,Jay,K,Nicholls,NULL,2080 Mountain View Dr.,NULL,Woolston,England,United Kingdom,WA1 4SY,1 (11) 500 555-0187,7/3/1983,Partial College,Manual,M,M,0,0,0,1,33076,3/6/2017
26369,NULL,Kate,J,Nath,NULL,"1101, rue Lauriston",NULL,Sèvres,Hauts de Seine,France,92310,1 (11) 500 555-0171,9/24/1985,High School,Skilled Manual,F,M,1,1,0,2,56641,3/6/2017
18824,NULL,Elijah,L,Collins,NULL,2535 Park Lane,NULL,La Jolla,California,United States,92806,620-555-0143,8/24/1982,High School,Manual,M,M,1,0,0,1,27203,3/6/2017
21064,NULL,Colleen,C,Sun,NULL,"8188, place du Tertre",NULL,Saint Ouen,Somme,France,80610,1 (11) 500 555-0116,11/20/1986,High School,Clerical,F,S,0,3,0,0,77098,3/6/2017
28532,NULL,Tony,R,Xie,NULL,"4757, rue Saint-Lazare",NULL,Paris,Seine (Paris),France,75008,1 (11) 500 555-0112,12/6/1988,Bachelors,Management,M,M,1,3,2,2,103200,3/6/2017
16183,NULL,Tanya,NULL,Carlson,NULL,9435 Vine Hill Way,NULL,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0136,11/4/1984,Bachelors,Skilled Manual,F,S,0,2,0,0,53784,3/6/2017
25700,NULL,Faith,B,Coleman,NULL,"2181, rue Malar",NULL,Saint-Denis,Seine Saint Denis,France,93400,1 (11) 500 555-0165,8/18/1974,Partial College,Manual,F,S,0,1,0,0,25826,3/6/2017
21746,NULL,Xavier,NULL,Hernandez,NULL,144 Santa Monica,NULL,Lakewood,California,United States,90712,404-555-0118,3/16/1982,High School,Manual,M,M,1,0,1,1,30925,3/6/2017
26560,NULL,Lindsey,NULL,Shen,NULL,589 Woodcrest Drive,NULL,Newcastle,New South Wales,Australia,2300,1 (11) 500 555-0163,6/4/1971,Partial High School,Manual,F,M,1,1,1,2,30288,3/6/2017
16988,NULL,Brian,R,Bailey,NULL,9013 Ramsay Circle,NULL,Oakland,California,United States,94611,621-555-0190,4/19/1985,Bachelors,Manual,M,S,0,0,0,0,34685,3/6/2017
18562,NULL,Mary,P,Wright,NULL,5745 St. Paul Way,NULL,Novato,California,United States,94947,160-555-0188,6/16/1989,Graduate Degree,Skilled Manual,F,M,0,1,1,1,58213,3/6/2017
14996,NULL,Ross,R,Gill,NULL,Unter Linden 934,NULL,Berlin,Hamburg,Germany,10210,1 (11) 500 555-0114,10/14/1995,Partial College,Management,M,S,0,0,0,0,108342,3/6/2017
26741,NULL,Nichole,J,Pal,NULL,2765 Robbins Place,NULL,Lane Cove,New South Wales,Australia,1597,1 (11) 500 555-0197,8/18/1987,Bachelors,Professional,F,M,1,2,1,1,130385,3/6/2017
19490,NULL,Kristina,D,Smith,NULL,"11, rue de Cambrai",NULL,Paris,Seine (Paris),France,75019,1 (11) 500 555-0167,11/16/1984,Partial College,Skilled Manual,F,S,0,2,0,0,58227,3/6/2017
12720,NULL,Nicolas,J,Chande,NULL,"44, rue du Départ",NULL,Suresnes,Hauts de Seine,France,92150,1 (11) 500 555-0115,11/2/1994,Partial College,Skilled Manual,M,S,0,1,0,0,52156,3/6/2017
14050,NULL,Manuel,M,Lopez,NULL,2396 Ancona Ct.,NULL,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0146,5/16/1986,Graduate Degree,Professional,M,S,1,2,0,0,131458,3/6/2017
11926,NULL,Eduardo,NULL,Foster,NULL,609 Power Ave.,NULL,Oregon City,Oregon,United States,97045,522-555-0169,3/18/1998,Partial College,Manual,M,S,0,1,0,0,33510,3/6/2017
28023,NULL,Andrea,D,James,NULL,4645 Rossmor Parkway,NULL,Corvallis,Oregon,United States,97330,514-555-0198,9/15/1966,High School,Skilled Manual,F,S,1,1,0,1,56785,3/6/2017
22541,NULL,Stefanie,NULL,Martinez,NULL,Im Himmelsweg 27,NULL,Paderborn,Hamburg,Germany,33041,1 (11) 500 555-0120,12/26/1993,Partial College,Skilled Manual,F,S,0,1,0,0,58201,3/6/2017
23192,NULL,Emily,E,Garcia,NULL,8180 Loveridge Circle,NULL,Palo Alto,California,United States,94303,300-555-0120,4/8/1985,Bachelors,Clerical,F,M,1,2,0,1,82359,3/7/2017
23192,NULL,Emily,E,Garcia,NULL,8180 Loveridge Circle,NULL,Palo Alto,California,United States,94303,300-555-0122,4/8/1985,Bachelors,Clerical,F,M,1,2,0,1,82359,3/6/2017
24957,NULL,Anna,A,Howard,NULL,8290 Margaret Ct.,NULL,Lakewood,California,United States,90712,869-555-0119,4/21/1965,Partial High School,Skilled Manual,F,M,1,2,1,2,55654,3/6/2017
11867,NULL,Nathaniel,C,James,NULL,4268 Weaver Court,NULL,National City,California,United States,91950,112-555-0116,4/24/1980,High School,Manual,M,M,1,1,1,2,33167,3/6/2017
11929,NULL,Virginia,NULL,Gonzalez,NULL,7566 Keller Ridge Dr.,NULL,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0188,2/12/1966,Partial College,Management,F,S,1,3,0,1,107883,3/6/2017
27994,NULL,Jodi,L,Rai,NULL,5680 Camelback Ct.,NULL,Beaverton,Oregon,United States,97005,622-555-0178,7/4/1957,High School,Clerical,F,M,1,1,2,2,80056,3/7/2017
21068,NULL,Lawrence,B,Jimenez,NULL,5097 Bourton Ct.,NULL,Bury,England,United Kingdom,PE17,1 (11) 500 555-0119,1/28/1985,Partial High School,Skilled Manual,M,S,0,2,0,0,54577,3/6/2017
26332,NULL,Aaron,W,Mitchell,NULL,3773 Lakefield Place,NULL,Lebanon,Oregon,United States,97355,116-555-0185,9/26/1986,Bachelors,Manual,M,M,0,0,1,1,36070,3/6/2017
20232,NULL,Franklin,L,Chande,NULL,867 Calico Way,NULL,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0166,5/11/1984,Bachelors,Skilled Manual,M,M,1,2,1,2,54049,3/6/2017
15029,NULL,Alejandro,W,Ye,NULL,5572 Running Springs Road,NULL,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0199,6/4/1999,Partial College,Management,M,S,0,1,0,0,112726,3/6/2017
28907,NULL,Blake,NULL,Jenkins,NULL,1156 Dublin Court,NULL,Runcorn,England,United Kingdom,TY31,1 (11) 500 555-0111,2/19/1971,Partial College,Manual,M,M,1,1,0,2,29749,3/6/2017
11887,NULL,Joseph,NULL,White,NULL,8656 Lakespring Place,NULL,Coronado,California,United States,92118,149-555-0116,4/5/1978,Bachelors,Skilled Manual,M,M,1,2,2,2,56820,3/6/2017
16809,NULL,Bailey,A,Sanders,NULL,3910 Fawn Glen Circle,NULL,Redwood City,California,United States,94063,532-555-0181,6/24/1970,Partial College,Management,F,S,1,3,0,0,102647,3/6/2017
18033,NULL,Evelyn,W,Patel,NULL,Postfach 44 11 11,NULL,Solingen,Nordrhein-Westfalen,Germany,42651,1 (11) 500 555-0193,5/20/1996,Partial College,Clerical,F,S,0,2,0,0,82258,3/6/2017
27605,NULL,Miguel,NULL,Martinez,NULL,5656 Via Delaware,NULL,Sedro Woolley,Washington,United States,98284,455-555-0163,1/22/1977,High School,Skilled Manual,M,M,1,1,2,2,54200,3/6/2017
14106,NULL,Melissa,NULL,Hughes,NULL,9391 80th St,NULL,Oakland,California,United States,94611,976-555-0182,1/13/1996,Partial College,Skilled Manual,F,S,0,2,0,0,60908,3/6/2017
29293,NULL,Nuan,NULL,Wu,NULL,7717 Amador Valley Blvd.,NULL,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0113,6/2/1987,Bachelors,Management,M,S,1,2,0,0,105007,3/6/2017
17669,NULL,Olivia,N,Rivera,NULL,8490 Longbrood Way,NULL,Sedro Woolley,Washington,United States,98284,196-555-0192,10/10/1976,High School,Manual,F,M,1,0,1,1,32319,3/6/2017
23540,NULL,Bruce,NULL,Lopez,NULL,324 Mepham Dr.,NULL,Gold Coast,Queensland,Australia,4217,1 (11) 500 555-0119,2/5/1982,Partial College,Skilled Manual,M,S,0,1,0,0,52311,3/6/2017
19710,NULL,Arianna,S,Gonzales,NULL,7886 Ruth Drive,NULL,Port Hammond,British Columbia,Canada,V6B 3P7,223-555-0195,10/7/1980,Partial College,Clerical,F,S,1,2,0,0,82851,3/6/2017
